Vessel Code,Vessel Name,Speed,LSFO MT/D,HSFO MT/D,MGO MT/D,Port Stay LSFO,PS MGO,,,,,,,,,,,,,,,,,,
MGSH,MAO GANG SHANG HAI,10,9,,1.6,,1.6,,,,,,,,,,,,,,,,,,
,,11,11,,1.6,,1.6,,,,,,,,,,,,,,,,,,
,,12,14,,1.6,,1.6,,,,,,,,,,,,,,,,,,
SHTG,SHENGTANG,12,30,,,2.5,,,,,,,,,,,,,,,,,,,
,,13,34,,,2.5,,,,,,,,,,,,,,,,,,,
,,14,37,,,2.5,,,,,,,,,,,,,,,,,,,
,,15,43,,,2.5,,,,,,,,,,,,,,,,,,,
,,16,50,,,2.5,,,,,,,,,,,,,,,,,,,
,,17,59,,,2.5,,,,,,,,,,,,,,,,,,,
,,18,68,,,2.5,,,,,,,,,,,,,,,,,,,
TGLK,TIGER LONGKOU,14,23.2,,3,1.5,3,,,,,,,,,,,,,,,,,,
,,15,27.3,,3,1.5,3,,,,,,,,,,,,,,,,,,
,,16,33.5,,3,1.5,3,,,,,,,,,,,,,,,,,,
TNVN,TEN VENUS,10,20.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,11,22.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,12,26.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,13,30.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,14,34.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,15,38.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,16,45.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,17,52.5,,,3.5,,,,,,,,,,,,,,,,,,,
,,18,61.5,,,3.5,,,,,,,,,,,,,,,,,,,
WNFD,WAN FU DA,11,24.5,,,3,2,,,,,,,,,,,,,,,,,,
,,12,26.5,,,3,2,,,,,,,,,,,,,,,,,,
,,13,30,,,3,2,,,,,,,,,,,,,,,,,,
,,14,32.5,,,3,2,,,,,,,,,,,,,,,,,,
,,15,34,,,3,2,,,,,,,,,,,,,,,,,,
XD88,XING DONG 88,7,10,,,1.5,,,,,,,,,,,,,,,,,,,
,,11.5,13,,,1.5,,,,,,,,,,,,,,,,,,,
,,12.5,15,,,1.5,,,,,,,,,,,,,,,,,,,
KRCB,KR CELEBES,,,,,,,,,,,,,,,,,,,,,,,,
CUHM,CUL HUMEN,12,20,,,3,,,,,,,,,,,,,,,,,,,
,,13,24,,,3,,,,,,,,,,,,,,,,,,,
,,14,28,,,3,,,,,,,,,,,,,,,,,,,
KDHZ,KAI DA HONG ZHOU,11.5,13.5,,0.55,,0.65,,,,,,,,,,,,,,,,,,
,,11,11.5,,0.55,,0.65,,,,,,,,,,,,,,,,,,
,,10.5,11,,0.55,,0.65,,,,,,,,,,,,,,,,,,
,,10,10,,0.55,,0.65,,,,,,,,,,,,,,,,,,
,,9.5,9.5,,0.55,,0.65,,,,,,,,,,,,,,,,,,
,,7.5,8,,0.55,,0.65,,,,,,,,,,,,,,,,,,
KRTM,KR TASMAN,,,,,,,,,,,,,,,,,,,,,,,,
NWTR,NEW THINKER,,,,,,,,,,,,,,,,,,,,,,,,
SY68,SUNNY 68,,,,,,,,,,,,,,,,,,,,,,,,
GLBN,GLOBAL 01,10,13.5,,1.2,,1.2,,,,,,,,,,,,,,,,,,
H708,HONG DA XIN 708,10.5,12,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,11,13.6,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,11.5,14.2,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,12,15.2,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,12.5,17.1,,1.8,,1.8,,,,,,,,,,,,,,,,,,
